year	lesson_id	date	title	video_id	source	source_status	suggested_or_checked_path
2015	2015/eulers-formula-old	2015-03-05	e to the pi i, a nontraditional take (old version)	F_0yfvm0UoU	NA	no_public_source_field	
2015	2015/eulers-formula-poem	2015-03-05	Euler's Formula Poem	zLzLxVeqdQg	NA	no_public_source_field	
2015	2015/moser	2015-05-24	Circle Division Solution	K8P8uFahAgc	_2015/moser_main.py	direct_source_path_exists	_2015/moser_main.py
2015	2015/eulers-characteristic-formula	2015-06-21	Euler's Formula and Graph Duality	-9OUyo8NFZg	_2015/eulers_characteristic_formula.py	direct_source_path_exists	_2015/eulers_characteristic_formula.py
2015	2015/inventing-math	2015-08-14	What does it feel like to invent math?	XFDM1ip5HdU	_2015/inventing_math.py	direct_source_path_exists	_2015/inventing_math.py
2015	2015/binary-counting	2015-09-18	How to count to 1000 on two hands	1SMmc9gQmHQ	_2015/counting_in_binary.py	direct_source_path_exists	_2015/counting_in_binary.py
2015	2015/music-and-measure-theory	2015-10-04	Music And Measure Theory	cyW5z-M2yzw	_2015/music_and_measure.py	direct_source_path_exists	_2015/music_and_measure.py
2016	2016/brachistochrone	2016-04-01	The Brachistochrone, with Steven Strogatz	Cld0p3a43fU	_2016/brachistochrone	direct_source_path_exists	_2016/brachistochrone/
2016	2016/snells-law	2016-04-01	Snell's law proof using springs	Iq1a_KJTWJ8	_2016/brachistochrone	direct_source_path_exists	_2016/brachistochrone/
2016	2016/triangle-of-power	2016-06-26	Triangle of Power	sULa9Lc4pck	_2016/triangle_of_power	direct_source_path_exists	_2016/triangle_of_power/
2016	2016/eola-preview	2016-08-05	Essence of linear algebra preview	kjBOesZCoqc	_2016/eola/chapter0.py	direct_source_path_exists	_2016/eola/chapter0.py
2016	2016/span	2016-08-06	Linear combinations, span, and basis vectors	k7RM-ot2NWY	_2016/eola/chapter2.py	direct_source_path_exists	_2016/eola/chapter2.py
2016	2016/vectors	2016-08-06	Vectors, what even are they?	fNk_zzaMoSs	_2016/eola/chapter1.py	direct_source_path_exists	_2016/eola/chapter1.py
2016	2016/linear-transformations	2016-08-07	Linear transformations and matrices	kYB8IZa5AuE	_2016/eola/chapter3.py	direct_source_path_exists	_2016/eola/chapter3.py
2016	2016/matrix-multiplication	2016-08-08	Matrix multiplication as composition	XkY2DOUCWMU	_2016/eola/chapter4.py	direct_source_path_exists	_2016/eola/chapter4.py
2016	2016/3d-transformations	2016-08-09	Three-dimensional linear transformations	rHLEWRxRGiM	_2016/eola/footnote.py	direct_source_path_exists	_2016/eola/footnote.py
2016	2016/determinant	2016-08-10	The determinant	Ip3X9LOh2dk	_2016/eola/chapter5.py	direct_source_path_exists	_2016/eola/chapter5.py
2016	2016/inverse-matrices	2016-08-15	Inverse matrices, column space, and null space	uQhTuRlWMxw	_2016/eola/chapter6.py	direct_source_path_exists	_2016/eola/chapter6.py
2016	2016/nonsquare-matrices	2016-08-16	Nonsquare matrices as transformations between dimensions	v8VSDg_WQlA	_2016/eola/footnote2.py	direct_source_path_exists	_2016/eola/footnote2.py
2016	2016/dot-products	2016-08-24	Dot products and duality	LyGKycYT2v0	_2016/eola/chapter7.py	direct_source_path_exists	_2016/eola/chapter7.py
2016	2016/cross-products	2016-09-01	Cross products	eu6i7WJeinw	_2016/eola/chapter8p2.py	direct_source_path_exists	_2016/eola/chapter8p2.py
2016	2016/cross-products-extended	2016-09-01	Cross products in the light of linear transformations	BaM7OCEm3G0	_2016/eola/chapter8.py	direct_source_path_exists	_2016/eola/chapter8.py
2016	2016/change-of-basis	2016-09-11	Change of basis	P2LTAUO1TdA	_2016/eola/chapter9.py	direct_source_path_exists	_2016/eola/chapter9.py
2016	2016/eigenvalues	2016-09-15	Eigenvectors and eigenvalues	PFDu9oVAE-g	_2016/eola/chapter10.py	direct_source_path_exists	_2016/eola/chapter10.py
2016	2016/abstract-vector-spaces	2016-09-24	Abstract vector spaces	TgKwz5Ikpc8	_2016/eola/chapter11.py	direct_source_path_exists	_2016/eola/chapter11.py
2016	2016/inscribed-rectangle-problem	2016-11-04	Who cares about topology? (Inscribed rectangle problem)	AmgkSdhK4K8	_2016/wcat.py	direct_source_path_exists	_2016/wcat.py
2016	2016/hanoi-and-sierpinski	2016-11-25	Binary, Hanoi and Sierpinski, part 1	2SUvWfNJSsM	_2016/hanoi.py	direct_source_path_exists	_2016/hanoi.py
2016	2016/zeta	2016-12-09	Visualizing the Riemann zeta function and analytic continuation	sD0NjbwqlYw	_2016/zeta.py	direct_source_path_exists	_2016/zeta.py
2017	2017/tattoos-on-math	2017-01-06	Tattoos on Math	IxNb1WG_Ido	_2017/tattoo.py	direct_source_path_exists	_2017/tattoo.py
2017	2017/fractal-dimension	2017-01-27	Fractals are typically not self-similar	gB9n2gHsHN4	_2017/fractal_dimension.py	direct_source_path_exists	_2017/fractal_dimension.py
2017	2017/eulers-formula-via-group-theory	2017-03-03	Euler's formula with introductory group theory	mvmuCPvRoWQ	_2017/efvgt.py	direct_source_path_exists	_2017/efvgt.py
2017	2017/essence-of-calculus	2017-04-28	The Essence of Calculus	WUvTyaaNkzM	_2017/eoc/chapter1.py	direct_source_path_exists	_2017/eoc/chapter1.py
2017	2017/derivatives	2017-04-29	The paradox of the derivative	9vKqVkMQHKk	_2017/eoc/chapter2.py	direct_source_path_exists	_2017/eoc/chapter2.py
2017	2017/derivatives-power-rule	2017-04-30	Power Rule through geometry	S0_qX4VJhMQ	_2017/eoc/chapter3.py	direct_source_path_exists	_2017/eoc/chapter3.py
2017	2017/derivatives-trig-functions	2017-04-30	Trig Derivatives through geometry		_2017/eoc/chapter3.py	direct_source_path_exists	_2017/eoc/chapter3.py
2017	2017/chain-rule-and-product-rule	2017-05-01	Visualizing the chain rule and product rule	YG15m2VwSjA	_2017/eoc/chapter4.py	direct_source_path_exists	_2017/eoc/chapter4.py
2017	2017/eulers-number	2017-05-02	What's so special about Euler's number e?	m2MIpDrF7Es	_2017/eoc/chapter5.py	direct_source_path_exists	_2017/eoc/chapter5.py
2017	2017/implicit-differentiation	2017-05-03	Implicit differentiation, what's going on here?	qb40J4N1fa4	_2017/eoc/chapter6.py	direct_source_path_exists	_2017/eoc/chapter6.py
2017	2017/epsilon-delta	2017-05-04	"(ε, δ) ""epsilon delta"" definitions of limits"		_2017/eoc/chapter7.py	direct_source_path_exists	_2017/eoc/chapter7.py
2017	2017/l-hopitals-rule	2017-05-04	L'Hôpital's rule		_2017/eoc/chapter7.py	direct_source_path_exists	_2017/eoc/chapter7.py
